name,position,birthday,hometown,description,history,education,image,gender
Nguyễn Khắc Định,Phó chủ tịch Quốc hội,3/1/1964,"Xã Hòa Bình, huyện Vũ Thư, tỉnh Thái Bình","Ngày sinh: 3/1/1964
Quê quán: Xã Hòa Bình, huyện Vũ Thư, tỉnh Thái Bình
Ủy viên Trung ương Đảng khóa XII, XIII","Trước 11/2008
Cán bộ tại Văn phòng Chính phủ
11/2008 - 9/2011
Trợ lý của Thủ tướng
9/2011 - 2/2016
Phó Chủ nhiệm Văn phòng Chính phủ
2/2016 - 7/2016
Điều hành Văn phòng Chính phủ
7/2016 - 10/2019
Chủ nhiệm Ủy ban Pháp luật của Quốc hội
10/2019 - 4/2021
Bí thư Tỉnh ủy Khánh Hòa
4/2021 - nay
Phó Chủ tịch Quốc hội",Tiến sĩ Luật học,https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/nguyen-khac-dinh.png,Ông
Trần Quang Phương,Phó chủ tịch Quốc hội,6/5/1961,"Phường Phổ Vinh, thị xã Đức Phổ, tỉnh Quảng Ngãi","Ngày sinh: 6/5/1961
Quê quán: Phường Phổ Vinh, thị xã Đức Phổ, tỉnh Quảng Ngãi
Ủy viên Trung ương Đảng khóa XII, XIII","1/2003 - 10/2003
Chủ nhiệm Chính trị, Sư đoàn 2, Quân khu 5
11/2003 - 6/2005
Phó Sư đoàn trưởng về Chính trị, Sư đoàn 2, Quân khu 5
7/2005 - 4/2006
Phó Chỉ huy trưởng về Chính trị, Bộ Chỉ huy Quân sự tỉnh Quảng Ngãi, Quân khu 5
5/2006 - 4/2008
Chính ủy, Bộ Chỉ huy Quân sự tỉnh Quảng Ngãi, Quân khu 5
5/2008 - 6/2010
Phó Chủ nhiệm Chính trị, Quân khu 5
7/2010 - 5/2011
Chủ nhiệm Chính trị, Quân khu 5
6/2011 - 4/2019
Chính ủy Quân khu 5
5/2019 - 7/2021
Phó Chủ nhiệm Tổng cục Chính trị Quân đội Nhân dân Việt Nam
7/2021
Phó chủ tịch Quốc hội",Cử nhân Xây dựng Đảng và chính quyền nhà nước,https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/tran-quang-phuong.png,Ông
Nguyễn Thúy Anh,Chủ nhiệm Ủy ban Xã hội,7/12/1963,"Phường Tiên Cát, thành phố Việt Trì, tỉnh Phú Thọ","Ngày sinh: 7/12/1963
Quê quán: Phường Tiên Cát, thành phố Việt Trì, tỉnh Phú Thọ
Ủy viên Trung ương Đảng khóa XII, XIII","3/1987 - 9/1989
Chuyên viên Vụ Hành chính-Tổng hợp, Văn phòng Quốc hội và Hội đồng Nhà nước
10/1989 - 8/1990
Thực tập sinh tại Đại học Quốc gia Ki-ep, Cộng hòa Ucraina (Liên Xô cũ)
9/1990 - 10/1995
Chuyên viên Vụ Tổng hợp, Văn phòng Quốc hội và Hội đồng Nhà nước (từ tháng 7/1992 là Văn phòng Quốc hội)
11/1995 - 9/1997
Thực tập sinh tại Học viện Quốc tế Hành chính công (IIAP), Paris và học Cao học tại Học viện Châu Âu (IEHEI, IE), Ni-xơ, Cộng hòa Pháp
10/1997 - 7/2011
Chuyên viên, Phó Vụ trưởng, Vụ trưởng Vụ Các vấn đề xã hội, Văn phòng Quốc hội
7/2011 - 4/2016
Phó Chủ nhiệm Ủy ban Về các vấn đề xã hội của Quốc hội
4/2016 - nay
Chủ nhiệm Ủy ban Xã hội của Quốc hội",Thạc sĩ Luật công và hành chính công,https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/nguyen-thuy-anh.png,Bà
Dương Thanh Bình,Trưởng Ban Dân nguyện,8/8/1961,"Xã Hồ Thị Kỷ, huyện Thới Bình, tỉnh Cà Mau","Ngày sinh: 8/8/1961
Quê quán: Xã Hồ Thị Kỷ, huyện Thới Bình, tỉnh Cà Mau
Ủy viên Trung ương Đảng khóa XI, XII, XIII","4/1993 - 4/1996
Chánh Văn phòng Ban Tổ chức Tỉnh ủy Minh Hải
5/1996 - 12/1996
Phó Trưởng Ban Tổ chức Tỉnh ủy Minh Hải
1/1997 - 4/2001
Phó Trưởng Ban Tổ chức Tỉnh ủy Cà Mau
5/2001 - 7/2002
Trưởng ban Tổ chức Tỉnh ủy Cà Mau
8/2002 - 10/2003
Bí thư Huyện ủy Trần Văn Thời, tỉnh Cà Mau
11/2003 - 2/2005
Thường trực Tỉnh ủy, kiêm Thường vụ Đảng ủy Công an tỉnh Cà Mau
3/2005 - 9/2010
Phó Bí thư Thường trực Tỉnh ủy Cà Mau
9/2010 - 6/2020
Bí thư Tỉnh ủy Cà Mau
6/2020 - nay
Trưởng Ban Dân Nguyện (thuộc Ủy ban Thường vụ Quốc hội)",Cử nhân Kinh tế,https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/duong-thanh-binh.png,Ông
Nguyễn Phú Cường,Chủ nhiệm Ủy ban Tài chính Ngân sách,19/6/1967,"Phường Tân Phước Khánh, thị xã Tân Uyên, tỉnh Bình Dương","Ngày sinh: 19/6/1967
Quê quán: Phường Tân Phước Khánh, thị xã Tân Uyên, tỉnh Bình Dương
Ủy viên Trung ương Đảng khóa XI (dự khuyết), XII, XIII","1989-1995
Nhân viên Phòng Ngân sách, Sở Tài chính tỉnh Đồng Nai
1995- 1996
Phó Trưởng phòng Phòng Ngân sách, Sở Tài chính tỉnh Đồng Nai
1996- 2002
Phó Giám đốc Sở Tài chính tỉnh Đồng Nai
2003-2005
Giám đốc Sở Tài chính tỉnh Đồng Nai
2005-2011
Phó Bí thư Thành ủy Biên Hòa, Chủ tịch UBND thành phố Biên Hòa, tỉnh Đồng Nai;
2011-2014
Bí thư Thành ủy Biên Hòa
11/2014 - 10/2015
Phó Chủ tịch UBND tỉnh Đồng Nai
10/2015 - 6/2016
Bí thư Tỉnh ủy Đồng Nai
6/2016 - 7/2021
Bí thư Tỉnh ủy, Chủ tịch HĐND tỉnh Đồng Nai
7/2021
Chủ nhiệm Ủy ban Tài chính, Ngân sách của Quốc hội","Thạc sĩ Quản lý kinh tế, Cử nhân Tài chính Công nghiệp",https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/nguyen-phu-cuong.png,Ông
Bùi Văn Cường,Tổng thư ký Quốc hội,18/6/1965,"Xã Thăng Long, thị xã Kinh Môn, tỉnh Hải Dương","Ngày sinh: 18/6/1965
Quê quán: Xã Thăng Long, thị xã Kinh Môn, tỉnh Hải Dương
Ủy viên Trung ương Đảng khóa XI (dự khuyết), XII, XIII","1/1990 - 10/1997
Công tác tại Đại học Hàng Hải
10/1997 - 2/1999
Phó bí thư Thành đoàn TP Hải Phòng
2/1999 - 10/2016
Công tác tại Đoàn TNCS Hồ Chí Minh
10/2006 - 4/2008
Bí thư Ban Chấp hành Trung ương Đoàn TNCS Hồ Chí Minh
4/2008 - 9/2011
Phó Bí thư Tỉnh ủy Gia Lai
9/2011 - 6/2012
Phó trưởng Ban Dân vận Trung ương
6/2012 - 2016
Bí thư Đảng ủy Khối Doanh nghiệp Trung ương
2016 - 7/2019
Chủ tịch Tổng Liên đoàn Lao động Việt Nam
7/2019 - 4/2021
Bí thư Tỉnh ủy Đắk Lắk
4/2021 - nay
Tổng thư ký, Chủ nhiệm Văn phòng Quốc hội","Tiến sĩ Kỹ thuật Hàng hải, Thạc sĩ An toàn hàng hải, Kỹ sư điều hành tàu biển, Cử nhân Tiếng Anh",https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/bui-van-cuong.png,Ông
Vũ Hải Hà,Chủ nhiệm Ủy ban Đối ngoại,1/3/1969,"Xã Hải Anh, huyện Hải Hậu, Nam Định","Ngày sinh: 1/3/1969
Quê quán: Xã Hải Anh, huyện Hải Hậu, Nam Định
Ủy viên Trung ương Đảng khóa XIII","8/1995 - 5/2002
Chuyên viên Vụ Đối ngoại, Văn phòng Quốc hội
5/2002 - 10/2005
Phó Vụ trưởng Đối ngoại, Văn phòng Quốc hội
10/2005 - 11/2007
Quyền Vụ trưởng Đối ngoại, Văn phòng Quốc hội
11/2007 - 7/2011
Vụ trưởng Đối ngoại, Văn phòng Quốc hội
7/2011 - 11/2013
Ủy viên Thường trực Ủy ban Đối ngoại của Quốc hội
11/2013 - 4/2021
Phó Chủ nhiệm Ủy ban Đối ngoại của Quốc hội
4/2021 - nay
Chủ nhiệm Ủy ban Đối ngoại của Quốc hội","Thạc sĩ Quản lý chính sách công, Cử nhân Luật, Cử nhân Ngôn ngữ",https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/vu-hai-ha.png,Ông
Lê Quang Huy,Chủ nhiệm Ủy ban KHCN&MT,19/9/1966,"Xã Vân Canh, huyện Hoài Đức, TP Hà Nội","Ngày sinh: 19/9/1966
Quê quán: Xã Vân Canh, huyện Hoài Đức, TP Hà Nội
Ủy viên Trung ương Đảng khóa XIII","5/1989 - 12/1990
Cán bộ kỹ thuật Công ty xây dựng số 3, Thành phố Hồ Chí Minh
1/1991 - 12/1992
Chuyên viên kỹ thuật phần mềm, Công ty Ứng dụng Toán Tin học và Xây dựng, Hội Xây dựng Việt Nam
1/1993 - 5/1995
Chuyên viên kỹ thuật máy tính, Văn phòng Quy hoạch tổng thể Đồng bằng sông Hồng, Bộ Khoa học, Công nghệ và Môi trường
6/1995 - 5/1996
Chuyên viên kỹ thuật máy tính, Văn phòng Ban Chỉ đạo Chương trình Quốc gia về Công nghệ thông tin, Văn phòng Chính phủ
6/1996 - 7/2007
Chuyên viên, Trưởng phòng, Phó Giám đốc rồi Giám đốc Trung tâm Thông tin Tư liệu, Ban Khoa giáo Trung ương Đảng
8/2007 - 6/2011
Ủy viên Thường trực Ủy ban Khoa học, Công nghệ và Môi trường của Quốc hội
7/2011 - 3/2014
Phó Chủ nhiệm Ủy ban Khoa học, Công nghệ và Môi trường của Quốc hội
4/2014 - 10/2017
Phó Bí thư Tỉnh ủy Nghệ An
11/2017 - 4/2021
Phó Chủ nhiệm Ủy ban Khoa học, Công nghệ và Môi trường của Quốc hội
4/2021 - nay
Chủ nhiệm Ủy ban Khoa học, Công nghệ và Môi trường của Quốc hội","Tiến sĩ Công nghệ thông tin, Kỹ sư xây dựng dân dụng",https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/le-quang-huy.png,Ông
Lê Tấn Tới,Chủ nhiệm Ủy ban Quốc phòng An ninh,4/4/1969,"Phường Tân Thành, thành phố Cà Mau, tỉnh Cà Mau","Ngày sinh: 4/4/1969
Quê quán: Phường Tân Thành, thành phố Cà Mau, tỉnh Cà Mau
Ủy viên Trung ương Đảng khóa XIII","10/1986 - 7/1991
Học viên Trường Đại học Cảnh sát nhân dân (nay là Học viện Cảnh sát nhân dân)
8/1991 - 12/1996
Cán bộ Trinh sát; Phó Đội trưởng Phòng Cảnh sát hình sự, Công an tỉnh Minh Hải (cũ)
1/1997 - 5/2013
Đội trưởng; Phó Trưởng Phòng Cảnh sát hình sự; Trưởng Phòng Cảnh sát điều tra tội phạm về ma túy; Trưởng Phòng Cảnh sát hình sự; Trưởng Công an thành phố Bạc Liêu; Trưởng phòng Tổ chức Cán bộ Công an tỉnh Bạc Liêu
6/2013 - 2/2016
Phó Giám đốc Công an tỉnh Bạc Liêu
3/2016 - 9/2019
Giám đốc Công an tỉnh Bạc Liêu
10/2019 - 3/2020
Cục trưởng Cục Tổ chức cán bộ Bộ Công an
4/2020 - 7/2021
Thứ trưởng Công an
7/2021
Chủ nhiệm Ủy ban Quốc phòng An ninh của Quốc hội",Tiến sĩ Tội phạm học và điều tra tội phạm,https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/le-tan-toi.png,Ông
Lê Thị Nga,Chủ nhiệm Ủy ban Tư pháp,20/12/1964,"Phường Bắc Hà, TP Hà Tĩnh, tỉnh Hà Tĩnh","Ngày sinh: 20/12/1964
Quê quán: Phường Bắc Hà, TP Hà Tĩnh, tỉnh Hà Tĩnh
Ủy viên Trung ương Đảng khóa XII, XIII","6/1986 - 5/1988
Cán bộ Phòng Văn bản, Sở Tư pháp tỉnh Thanh Hóa
5/1988 - 1992
Cán bộ Thư ký Tòa án nhân dân thành phố Thanh Hóa
1992 - 12/2000
Thẩm phán Tòa án nhân dân thành phố Thanh Hóa
1/2001 - 4/2003
Phó Chánh án Tòa án nhân dân thành phố Thanh Hóa
5/2003 - 1/2005
Phó Vụ trưởng Vụ pháp luật, Văn phòng Chủ tịch nước
1/2005 - 6/2007
Ủy viên Thường trực Ủy ban Pháp luật của Quốc hội
7/2007 - 4/2016
Phó Chủ nhiệm Ủy ban Tư pháp của Quốc hội
2016 - nay
Chủ nhiệm Ủy ban Tư pháp của Quốc hội",Thạc sĩ Luật,https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/le-thi-nga.png,Bà
Nguyễn Đắc Vinh,Chủ nhiệm Ủy ban Văn hóa Giáo dục,25/11/1972,"Xã Quỳnh Dị, huyện Quỳnh Lưu, tỉnh Nghệ An","Ngày sinh: 25/11/1972
Quê quán: Xã Quỳnh Dị, huyện Quỳnh Lưu, tỉnh Nghệ An
Ủy viên Trung ương Đảng khóa XI (dự khuyết), XII, XIII","2/2001 - 8/2008
Công tác tại Đại học Khoa học Tự nhiên, Đại học Quốc gia Hà Nội
8/2008 - 10/2011
Bí thư Trung ương Đoàn TNCS Hồ Chí Minh; Chủ tịch Hội Sinh viên Việt Nam; Giám đốc Học viện Thanh Thiếu niên Việt Nam; Phó Chủ tịch Hội Liên hiệp Thanh niên Việt Nam
10/2011 - 4/2016
Bí thư thứ nhất Trung ương Đoàn TNCS Hồ Chí Minh; Chủ tịch Hội Liên hiệp Thanh niên Việt Nam; Chủ nhiệm Ủy ban Quốc gia về thanh niên Việt Nam
4/2016 - 12/2019
Bí thư Tỉnh ủy Nghệ An
12/2019 - 4/2021
Phó Chánh Văn phòng Trung ương Đảng
4/2021 - nay
Chủ nhiệm Ủy ban Văn hóa Giáo dục của Quốc hội","Phó giáo sư, Tiến sĩ Hóa học",https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/nguyen-dac-vinh.png,Ông
Hoàng Thanh Tùng,Chủ nhiệm Ủy ban Pháp luật,25/12/1966,"Xã Lăng Thành, huyện Yên Thành, tỉnh Nghệ An","Ngày sinh: 25/12/1966
Quê quán: Xã Lăng Thành, huyện Yên Thành, tỉnh Nghệ An
Ủy viên Trung ương Đảng khóa XIII","Trước 5/2011
Công tác tại Vụ Pháp luật hành chính, hình sự Bộ Tư pháp, Cục phó Cục Kiểm tra văn bản quy phạm pháp luật - thiết chế, Thư ký Bộ trưởng Bộ Tư pháp…
5/2011 - 5/2016
Ủy viên Thường trực Ủy ban Pháp luật của Quốc hội
5/2016 - 11/2019
Phó Chủ nhiệm Ủy ban Pháp luật của Quốc hội, Phó Tổng Thư ký Quốc hội
11/2019 - nay
Chủ nhiệm Ủy ban Pháp luật của Quốc hội",Thạc sĩ Luật học,https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/hoang-thanh-tung.png,Ông
Vũ Hồng Thanh,Chủ nhiệm Ủy ban Kinh tế,19/4/1962,"Xã Minh Tân, huyện Nam Sách, tỉnh Hải Dương","Ngày sinh: 19/4/1962
Quê quán: Xã Minh Tân, huyện Nam Sách, tỉnh Hải Dương
Ủy viên Trung ương Đảng khóa XII, XIII","Trước 10/2015
Phó trưởng Ban Quản lý các Khu công nghiệp và Đầu tư nước ngoài; Giám đốc Sở Ngoại vụ; Chánh Văn phòng UBND tỉnh; Giám đốc Sở Kế hoạch và Đầu tư; Bí thư Thành ủy Hạ Long, tỉnh Quảng Ninh
10/2015 - 7/2016
Phó Bí thư Tỉnh ủy Quảng Ninh
7/2016 - nay
Chủ nhiệm Ủy ban Kinh tế của Quốc hội",Kỹ sư Cơ khí,https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/vu-hong-thanh.png,Ông
Nguyễn Thị Thanh,Trưởng Ban công tác Đại biểu,10/2/1967,"Xã Yên Nhân, huyện Yên Mô, tỉnh Ninh Bình","Ngày sinh: 10/2/1967
Quê quán: Xã Yên Nhân, huyện Yên Mô, tỉnh Ninh Bình
Ủy viên Trung ương Đảng khóa XI (dự khuyết), XII, XIII","Trước 11/2010
Trưởng ban Dân vận Tỉnh ủy kiêm Trưởng ban Văn hóa - Xã hội thuộc HĐND tỉnh Ninh Bình
11/2010 - 8/2013
Bí thư Huyện ủy Yên Khánh, Ninh Bình
8/2013 - 3/2020
Bí thư Tỉnh ủy Ninh Bình
3/2020 - nay
Phó trưởng Ban Tổ chức Trung ương
4/2020 - 4/2021
Phó trưởng Ban Công tác đại biểu thuộc Ủy ban Thường vụ Quốc hội
4/2021 - nay
Trưởng Ban Công tác đại biểu (thuộc Ủy ban Thường vụ Quốc hội)","Thạc sĩ Quản trị kinh doanh, Đại học Thanh vận, Cử nhân Luật",https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/nguyen-thi-thanh.png,Bà
Y Thanh Hà Niê KĐăm,Chủ tịch Hội đồng Dân tộc,23/12/1973,"Thị trấn Ea Pốk, huyện Cư M'gar, tỉnh Đắk Lắk","Ngày sinh: 23/12/1973
Quê quán: Thị trấn Ea Pốk, huyện Cư M'gar, tỉnh Đắk Lắk
Ủy viên Trung ương Đảng khóa XII (dự khuyết), XIII","Trước 12/2004
Công tác tại Hải quan Đắk Lắk
1/2005 - 12/2008
Phó Trưởng phòng Tổ chức Cán bộ, Ban Tổ chức Tỉnh ủy Đắk Lắk
12/2008 - 7/2011
Phó Trưởng phòng Cơ sở Đảng và Đảng viên, Ban Tổ chức Tỉnh ủy Đắk Lắk
7/2011 - 12/2013
Phó Bí thư Thành ủy Buôn Ma Thuột
1/2014 - 5/2015
Bí thư Huyện ủy Cư M’gar
5/2015 - 10/2015
Bí thư Thành ủy Buôn Ma Thuột
10/2015 - 2/2019
Bí thư Thành ủy Buôn Ma Thuột
2/2019 - 7/2021
Bí thư Đảng ủy Khối Doanh nghiệp Trung ương
7/2021
Chủ tịch Hội đồng Dân tộc của Quốc hội","Thạc sĩ Quản lý công, Cử nhân Kinh tế đối ngoại, Cử nhân Chính trị chuyên ngành Công tác tổ chức",https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/y-thanh-ha-nie-kdam.png,Ông
Nguyễn Hòa Bình,Chánh án TANDTC,24/5/1958,"Xã Hành Đức, huyện Nghĩa Hành, tỉnh Quảng Ngãi","Ngày sinh: 24/5/1958
Quê quán: Xã Hành Đức, huyện Nghĩa Hành, tỉnh Quảng Ngãi
Ủy viên Bộ Chính trị khóa XIII; Bí thư Trung ương Đảng khóa XII, XIII; Ủy viên Trung ương Đảng khóa XI, XII, XIII","1980 - 1987
Công an tại Quảng Nam Đà Nẵng
1987 - 1991
Nghiên cứu sinh Học viện Bộ Nội vụ Liên Xô
1992 - 1999
Phó rồi Trưởng phòng đấu tranh án công nghiệp, Cục Cảnh sát Kinh tế Bộ Công An (C15)
1999 - 2001
Phó Cục trưởng C15, Tổng cục Cảnh sát, Bộ Công An
2002 - 2004
Cục trưởng C15, Phó thủ trưởng Cơ quan cảnh sát điều tra Bộ Công an
2005 - 2008
Phó Tổng cục trưởng Tổng cục Cảnh sát, Phó thủ trưởng Cơ quan cảnh sát điều tra Bộ Công an
2008 - 2010
Phó Bí thư Tỉnh ủy Quảng Ngãi
2010
Bí thư Tỉnh ủy Quảng Ngãi
7/2011
Viện trưởng Viện Kiểm sát nhân dân tối cao
4/2016 - nay
Chánh án Tòa án Nhân dân Tối cao","Phó giáo sư, Tiến sĩ Luật",https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/nguyen-hoa-binh.png,Ông
Lê Minh Trí,Viện trưởng Viện KSNDTC,1/11/1960,"Xã Tân Thông Hội, huyện Củ Chi, TP HCM","Ngày sinh: 1/11/1960
Quê quán: Xã Tân Thông Hội, huyện Củ Chi, TP HCM
Ủy viên Trung ương Đảng khóa XII, XIII","9/1978 - 9/1981
Cán bộ Công an TP HCM
10/1981 - 9/1986
Học viên Đại học An ninh nhân dân (Hà Nội)
10/1986 - 7/1990
Chi ủy viên, Phó Đội trưởng, Bí thư Chi bộ, Phó Trưởng phòng Tham mưu an ninh, Công an TP HCM
8/1990 - 3/1992
Phó Trưởng phòng A12b, Bộ Nội vụ, Thư ký Thứ trưởng Bộ Nội vụ (nay là Bộ Công an)
4/ 1992 - 2/2000
Cán bộ biệt phái cấp bậc Trung tá an ninh, Thư ký Chủ tịch UBND TP HCM
3/2000 - 12/2002
Phó Chánh Văn phòng HĐND và UBND TP HCM
1/2003 - 8/2005
Phó Bí thư Quận ủy, Chủ tịch UBND Quận 11, TP HCM
9/2005 - 12/2009
Phó Bí thư Quận ủy, Chủ tịch UBND Quận 1, TP HCM
12/2009 - 4/2013
Phó Chủ tịch UBND TP HCM
4 /2013 - 4/2016
Phó Trưởng Ban Nội chính Trung ương
4/2016 - nay
Viện trưởng Viện Kiểm sát nhân dân tối cao","Cử nhân An ninh, Cử nhân Luật",https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/le-minh-tri.png,Ông
Trần Sỹ Thanh,Tổng kiểm toán Nhà nước,16/3/1971,"Xã Thanh Giang, huyện Thanh Chương, tỉnh Nghệ An","Ngày sinh: 16/3/1971
Quê quán: Xã Thanh Giang, huyện Thanh Chương, tỉnh Nghệ An
Ủy viên Trung ương Đảng khóa XII","2004 - 2007
Chánh Văn phòng Kho bạc Nhà nước Việt Nam
2007 - 11/2008
Phó Tổng giám đốc Kho bạc Nhà nước Việt Nam
11/2008 - 10/2011
Phó Chủ tịch UBND tỉnh Đắk Lắk
1/2011 - 6/2012
Ủy viên Ủy ban Kiểm tra Trung ương
6/2012 - 2/2015
Bí thư Tỉnh ủy Bắc Giang
2/2015 - 10/2015
Phó chủ nhiệm Ủy ban Kiểm tra Trung ương
10/2015 - 12/2017
Bí thư Tỉnh ủy Lạng Sơn
12/2017 - 8/2020
Phó Ban Kinh tế Trung ương; Chủ tịch Hội đồng thành viên Tập đoàn dầu khí quốc gia Việt Nam
8/2020 - 4/2021
Phó Chủ nhiệm Văn phòng Quốc hội
4/2021
Tổng kiểm toán Nhà nước",Thạc sĩ Kinh tế,https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/tran-sy-thanh.png,Ông
